数据id,数据标识,应用部位,产品所属专利号或文献,球头信息_球头基本信息,球头信息_球头_成分组成,球头信息_球头_物理性能,球头信息_球头_微观组织,股骨柄信息_股骨柄基本信息,股骨柄信息_股骨柄_成分组成,股骨柄信息_股骨柄_物理性能,股骨柄信息_股骨柄_微观组织,内衬信息_内衬_基本信息,内衬信息_内衬_改性填料,内衬信息_内衬_成分组成,内衬信息_内衬_物理性能,内衬信息_复合材料性能,内衬信息_内衬_材料表征,体外实验_内衬与球头摩擦腐蚀实验_内衬与球头_实验设置,体外实验_内衬与球头摩擦腐蚀实验_球头腐蚀实验结果,体外实验_内衬与球头摩擦腐蚀实验_内衬腐蚀实验结果,体外实验_内衬与球头摩擦腐蚀实验_内衬与球头_实验环境_润滑液组成,体外实验_内衬与球头摩擦腐蚀实验_球头磨损实验结果,体外实验_内衬与球头摩擦腐蚀实验_内衬磨损实验结果,体外实验_内衬与球头摩擦腐蚀实验_球头表面成分分析,体外实验_球头与锥颈界面微动腐蚀实验_球头与锥颈_实验设置,体外实验_球头与锥颈界面微动腐蚀实验_锥颈与球头_实验环境_润滑液组成,体外实验_球头与锥颈界面微动腐蚀实验_腐蚀与磨损实验结果,paper_id,created_at,updated_at
AJ_20251016_be0c9737_EXP001,耐磨材料综述-未指定配对,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ_20251016_be0c9737_EXP001,CoCr-CFR PEEK摩擦磨损实验,髋关节,,"{""材料类别"": ""CoCr""}",,,,,,,,"{""材料类别"": ""CFR PEEK"", ""改性填料"": ""30% carbon fiber reinforced"", ""加工工艺"": ""machined from rod form""}","{""填料种类"": ""carbon fiber"", ""添加量"": ""30%""}","{""材料名称"": ""CFR PEEK"", ""成分"": ""30% carbon fiber reinforced PEEK""}","{""弹性模量"": ""6000 MPa"", ""密度"": ""1.38 mg/mm³"", ""Ball Indentation Hardness"": ""298 MPa""}","{""外径"": ""9 mm"", ""高度"": ""12 mm"", ""拉伸强度"": ""112 MPa"", ""断裂伸长率"": ""10%""}",,"{""测试设备"": ""50-station pin-on-disc machine (SuperCTPOD)"", ""摩擦测试条件"": ""elliptical orbital motion"", ""负载"": ""70.7 N"", ""滑动距离"": ""34.62 mm per cycle"", ""运动频率"": ""1 Hz"", ""磨损轨迹路径"": ""12×10 mm"", ""接触应力范围"": ""1.11 MPa to 5.30 MPa""}",,,,"{""重量变化"": ""not significant (ANOVA p-value: 1.00)""}","{""Group 1 (1.11 MPa)"": {""总重量损失"": ""3.97±1.23 mg"", ""磨损率"": ""1.59±1.34 mg/Mc"", ""磨损因子"": ""0.42±0.40 ×10⁻⁶ mm³/Nm""}, ""Group 2 (1.38 MPa)"": {""总重量损失"": ""1.72±0.23 mg"", ""磨损率"": ""0.65±0.15 mg/Mc"", ""磨损因子"": ""0.19±0.04 ×10⁻⁶ mm³/Nm""}, ""Group 3 (1.68 MPa)"": {""总重量损失"": ""1.52±0.24 mg"", ""磨损率"": ""0.61±0.38 mg/Mc"", ""磨损因子"": ""0.18 ×10⁻⁶ mm³/Nm""}, ""Group 4 (2.00 MPa)"": {""总重量损失"": ""1.67±0.34 mg""}, ""Group 5 (5.30 MPa)"": {""总重量损失"": ""1.63±0.34 mg""}, ""对照组重量增加"": ""0.75-0.99 mg"", ""统计分析"": ""Groups 2-5 weight loss insignificant (ANOVA p-value: 0.797); Group 1 vs others significant (ANOVA p-value: 0.007)""}",,,,,,,
AJ_20251016_be0c9737_EXP001,CoCrMo-PEEK扭转微动摩擦磨损,,,"{""材料类别"": ""CoCrMo合金"", ""加工工艺"": null, ""表面处理"": null}",,,,,,,,"{""材料类别"": ""PEEK"", ""分子量"": null, ""结晶度"": null, ""改性填料"": null, ""加工工艺"": null, ""表面处理"": null}",,,"{""硬度"": ""高于UHMWPE（具体数值未提及）"", ""抗蠕变性"": ""压痕深度约为UHMWPE的1/13""}","{""吸水性"": ""高于UHMWPE"", ""耐磨性"": ""优于UHMWPE""}",,"{""测试类型"": ""扭转微动实验"", ""试样配对"": ""CoCrMo pin与PEEK plate"", ""润滑液类型"": ""25%牛血清"", ""运行状态"": ""混合滑移区和滑移区"", ""摩擦转矩变化"": ""T-θ曲线随角位移幅值增加从椭圆型变为平行四边形型""}","{""实验类型"": ""扭转微动腐蚀实验"", ""测量参数"": ""极化曲线和腐蚀电流""}",,"{""环境名称"": ""牛血清润滑"", ""成分"": ""25%牛血清""}",,"{""磨损表面特征"": ""比UHMWPE更窄更浅"", ""平均摩擦系数"": ""略高于UHMWPE""}",,,,,,,
AJ_20251016_be0c9737_EXP002,CoCrMo-UHMWPE摩擦磨损对比,,,"{""材料类别"": ""CoCrMo合金""}",,,,,,,,"{""材料类别"": ""UHMWPE""}",,,,,,"{""润滑液类型"": ""25%牛血清""}",,,"{""环境名称"": ""牛血清润滑"", ""浓度"": ""25%""}",,"{""磨损形貌"": ""磨损表面较宽且较深""}",,,,,,,
AJ_20251016_be0c9737_EXP001,CoCrMo-UHMWPE不同腐蚀电位摩擦磨损实验,,,"{""材料类别"": ""CoCrMo合金""}",,,,,,,,"{""材料类别"": ""UHMWPE""}",,,,,,"{""测试条件"": ""三种腐蚀电位(OCP, 0.5V, -0.5V)"", ""测试环境"": ""生物环境""}","{""静态腐蚀电位"": ""CoCrMo合金静态腐蚀电位稳定"", ""腐蚀描述"": ""被动膜被破坏""}",,,"{""磨损描述"": ""阴极保护条件(-0.5V)下磨损损失最低，减少了腐蚀损失""}","{""磨屑分类"": ""球类(分形维数0-0.40)、片/块类(分形维数0.4-0.62)、条/叶/杆类(分形维数0.62-1)"", ""磨屑数量"": ""OCP电压下运转10万转后提取1034个磨屑""}",,,,,,,
AJ_20251016_be0c9737_EXP001,Ti6Al4V/Ti6Al4V摩擦腐蚀实验,,,"{""材料类别"": ""Ti6Al4V""}",,,,,,,,"{""材料类别"": ""Ti6Al4V""}",,,,,,"{""测试条件"": ""potentiostatic conditions"", ""表面粗糙度"": ""fixed starting surface roughness""}","{""腐蚀电流密度"": ""3 mA/cm² at 73 MPa, 0.2 mA/cm² at 166 MPa, 4 μA/cm² at highest stress"", ""摩擦系数"": ""0.63 at 73 MPa""}",,,,,,,,,,,
AJ_20251016_be0c9737_EXP002,CoCrMo/Ti6Al4V摩擦腐蚀实验,,,"{""材料类别"": ""CoCrMo合金""}",,,,,,,,"{""材料类别"": ""Ti6Al4V合金""}",,,,,,"{""测试条件"": ""potentiostatic conditions"", ""表面粗糙度"": ""fixed starting surface roughness"", ""接触应力范围"": ""0-1000 MPa""}","{""腐蚀电流密度"": ""0.6 mA/cm²"", ""应力水平"": ""80-100 MPa plateau region""}",,"{""环境"": ""aqueous solutions""}","{""摩擦系数"": ""0.3""}",,,,,,,,
AJ_20251016_be0c9737_EXP003,CoCrMo/CoCrMo摩擦腐蚀实验,,,"{""材料类别"": ""CoCrMo合金""}",,,,,,,,"{""材料类别"": ""CoCrMo合金""}",,,,,,"{""测试条件"": ""恒电位条件"", ""初始表面粗糙度"": ""固定值""}","{""腐蚀电流密度"": ""1.2 mA/cm² (at 350 MPa)"", ""应力范围"": ""平台区100-650 MPa""}","{""腐蚀电流密度"": ""1.2 mA/cm² (at 350 MPa)"", ""应力范围"": ""平台区100-650 MPa""}","{""环境"": ""水溶液""}",,,,,,,,,
AJ_20251016_be0c9737_EXP001,CoCrMo-高交联UHMWPE扭转摆动摩擦腐蚀实验,膝关节,,"{""材料类别"": ""CoCrMo合金""}",,,,,,,,"{""材料类别"": ""高交联UHMWPE"", ""加工工艺"": ""辐照交联""}",,,,,,"{""测试条件"": ""扭转和摆动运动"", ""运动形式"": ""扭转磨损运动和摆动运动""}",,,,,"{""磨损行为"": ""磨损损失受摆动角度和法向载荷影响""}",,,,,,,
AJ_20251016_be0c9737_EXP002,CoCrMo-PEEK扭转摆动摩擦腐蚀实验,膝关节,,"{""材料类别"": ""CoCrMo合金""}",,,,,,,,"{""材料类别"": ""PEEK""}",,,,,,"{""测试类型"": ""扭转摆动摩擦腐蚀"", ""运动形式"": ""扭转磨损运动和摆动运动""}",,,,,,,,,,,,
AJ_20251016_be0c9737_EXP001,锻造CoCrMo-锻造CoCrMo摩擦腐蚀实验,人工关节,,"{""材料类别"": ""CoCrMo合金"", ""加工工艺"": ""锻造""}",,,,,,,,"{""材料类别"": ""CoCrMo合金"", ""加工工艺"": ""锻造""}",,,,,,"{""测试设备"": ""UMT-2多功能摩擦磨损试验机和电化学工作站（CHI614E）"", ""润滑液类型"": ""25%小牛血清溶液"", ""负载"": ""不同载荷条件"", ""年循环负荷"": ""100-300万次""}","{""腐蚀电位"": ""-820 mV"", ""钝化现象"": ""在0.5-0.75 V区域出现两次钝化现象"", ""腐蚀电流"": ""随载荷增加而增加"", ""腐蚀损耗"": ""随载荷增加而减少"", ""磨损腐蚀协同作用损耗占比"": ""超过30%的总损耗""}",,"{""环境名称"": ""小牛血清溶液"", ""浓度"": ""25%""}","{""磨损形貌"": ""通过扫描电镜分析"", ""机械磨损损耗"": ""随载荷增加而增加""}",,"{""分析方法"": ""扫描电镜""}",,,,,,
AJ_20251016_be0c9737_EXP001,全髋关节置换术综述,髋关节,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ_20251016_be0c9737_EXP001,,膝关节,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ_20251016_be0c9737_EXP001,,,10.1126/science.1213902,,,,,,,,,,,,,,,,,,,,,,,,,,,
